"base","en","de","sr"
"Add Task","Add Task","Aufgabe hinzufügen","Dodajte zadatak"
"Cancel","Cancel","Abbrechen","Otkaži"
"Choose Time","Choose Time","Zeit auswählen","Odaberite vreme"
"English","English","Englisch","Engleski"
"Erase picture","Erase picture","Bild löschen","Izbrišite sliku"
"German","German","Deutsch","Nemački"
"How to remind you?","How to remind you?","Wie soll ich Dich erinnern?","Kako da vas podsetim?"
"Proceed","Proceed","Fortfahren","Nastavite"
"Recurring Tasks Manager","Recurring Tasks Manager","Wiederkehrende Aufgaben Manager","Ponavljajući menadžer za zadatke"
"Remind me in X days","Remind me in X days","Erinnere mich in X Tagen","Podseti me za X dana"
"Remind me in X months","Remind me in X months","Erinnere mich in X Monaten","Podseti me za X meseci"
"Remind me in X weeks","Remind me in X weeks","Erinnere mich in X Wochen","Podseti me za X nedelja"
"Remind me on last day of a month","Remind me on last day of a month","Erinnere mich am letzten Tag im Monat","Podseti me na zadnji dan u mesecu"
"Saving task...","Saving task...","Wird gespeichert...","Memorizovanje zadatka..."
"Set language","Set language","Sprache auswählen","Podesite jezik"
"Set language:","Set language:","Sprache auswählen:","Podesite jezik:"
"Take a picture","Take a picture","Foto machen","Uslikajte sliku"
"Task active...","Task active...","Aufgabe aktiv...","Zadatak aktivan..."
"Task archived...","Task archived...","Aufgabe archiviert...","Zadatak arhiviran..."
"Task deleted...","Task deleted...","Aufgabe gelöscht...","Zadatak obrisan..."
"Task done...","Task done...","Aufgabe erledigt...","Zadatak izvršen..."
"Task ignored...","Task ignored...","Aufgabe ignoriert...","Zadatak ignorisan..."
"This Task has still to be done. Do you want to archive it anyway?","This Task has still to be done. Do you want to archive it anyway?","Dieser Aufgabe muss noch erledigt werden. Willst Du ihn trotzdem archivieren?","Ovaj zadatak nije dovršen. Da li želite da ga arhivirate uprkos tome?"
"Time of day to pop up","Time of day to pop up","Tageszeit der Erinnerung","Doba dana za obaveštenje"
"Time of day to pop up:","Time of day to pop up:","Tageszeit der Erinnerung:","Doba dana za obaveštenje:"
"Title","Title","Titel","Naslov"
"Title:","Title:","Titel:","Naslov:"
"active","active","aktiv","aktivno"
"archive","archive","Archiv","arhiva"
"new task","new task","Neuer Aufgabe","novi zadatak"
"privacy policy","privacy policy","Datenschutzerklärung","Zaštita podataka"
"Serbian","Serbian","Serbisch","Srpski"
"settings","settings","Einstellungen","Podešavanja"
"todos","todos","Todos","obaveze"
"undone todo","undone todo","Rückgängig gemacht","Poništene obaveze"
